location,season,weather_cond,humidity,wind_speed,pressure,temperature
Phuket,Rainy,Cloudy,65.54305043,28.69827848,991.3081604,27.1768233
Khon Kaen,Winter,Overcast,39.09312065,21.00664839,1017.515729,20.38109989
Khon Kaen,Winter,Overcast,28.7578849,9.049861411,991.9619259,23.08098806
Chiang Mai,Summer,Sunny,80.23944389,25.64525738,993.4085963,25.50896725
Chiang Mai,Rainy,Cloudy,94.38503358,0.973818183,1016.70911,19.87541681
Phuket,Rainy,Overcast,56.98528202,16.43502596,1001.311868,25.09586285
Khon Kaen,Summer,Overcast,50.63122173,13.60709348,994.8516196,30.28955711
Phuket,Rainy,Cloudy,43.43700847,9.175781169,999.915096,30.43776914
Phuket,Winter,Cloudy,41.92965897,12.37253751,1014.533664,24.6808499
Bangkok,Summer,Sunny,58.6044408,21.58040418,1002.468873,30.56453961
Khon Kaen,Summer,Cloudy,38.97767218,20.12466172,1015.03691,33.58892271
Phuket,Summer,Overcast,,8.540651518,1015.365173,33.49420447
Bangkok,Winter,Cloudy,88.38894372,1.437101742,1014.001809,15.97040573
Khon Kaen,Rainy,Overcast,88.64789974,10.726237,,19.01219852
Bangkok,Summer,Cloudy,81.12788371,1.474397304,1014.895223,27.72064678
Khon Kaen,Rainy,Cloudy,49.30137126,5.188061451,1004.621135,28.40876459
Chiang Mai,Winter,Cloudy,49.01944446,18.82040461,1008.607536,16.79928656
Bangkok,Winter,Sunny,58.12620297,9.713717069,1012.370863,24.24700069
Bangkok,Summer,Sunny,31.39592121,7.137783301,1013.730152,37.37357422
Chiang Mai,Summer,Overcast,22.06612665,14.16221894,1003.530676,27.43708402
Phuket,Rainy,Overcast,,17.7074558,1018.012166,19.75849812
Khon Kaen,Summer,Sunny,55.34540669,20.30393702,999.0698446,30.86966778
Phuket,Summer,Sunny,71.30549769,16.47612645,992.2265032,31.94444569
Phuket,Winter,Cloudy,32.82024014,15.51864842,1006.852364,24.31721603
Phuket,Summer,Sunny,90.84325531,23.51622561,993.7601657,27.51086757
Khon Kaen,Summer,Cloudy,,25.24996929,1001.027221,28.09430385
Bangkok,Rainy,Cloudy,49.55759632,19.44421358,1014.133705,27.6986671
Bangkok,Rainy,Sunny,,25.76091391,1002.508335,24.70083478
Phuket,Rainy,Overcast,49.6004666,15.30110769,990.10087,25.87705505
Bangkok,Winter,Sunny,75.85393801,8.119839108,1018.633629,19.58349529
Khon Kaen,Winter,Overcast,20.55502283,24.04050412,996.6702479,25.09856429
Phuket,Rainy,Sunny,70.36933364,24.44284221,1003.729517,27.3940448
Khon Kaen,Rainy,Overcast,78.22467776,14.87156762,1007.727673,22.9438725
Phuket,Rainy,Overcast,79.11396988,10.71107233,1001.150904,21.10455163
Chiang Mai,Winter,,,26.6935826,1014.463465,14.20170308
Khon Kaen,Rainy,Cloudy,75.27758147,8.482017829,994.4319292,24.98304497
Phuket,Winter,Cloudy,28.45763306,14.53824676,996.3107554,28.61316893
Chiang Mai,Rainy,Sunny,39.2192152,23.90327006,,30.13971561
Khon Kaen,Rainy,Overcast,27.8255699,16.56659221,1001.155342,28.30980647
Phuket,Rainy,Cloudy,54.86749911,3.478198364,1017.497788,31.53971191
Phuket,Summer,Sunny,55.00837925,21.50023142,1011.26326,34.65889223
Bangkok,Rainy,Cloudy,68.77033123,20.48704325,995.3217315,26.03753033
Khon Kaen,Summer,Cloudy,36.80308722,23.20115315,993.0346146,32.55212486
Bangkok,Rainy,Overcast,,9.65491422,,17.95419127
Bangkok,Rainy,Sunny,,25.54464935,,30.5032401
Chiang Mai,Summer,Overcast,60.26298004,25.06912548,1010.915991,22.91244332
Chiang Mai,Summer,Cloudy,22.24414901,26.45477746,1018.3783,34.66683974
Khon Kaen,Summer,Sunny,72.94221967,27.065288,1006.023448,30.04693655
Phuket,Rainy,Overcast,60.58680121,24.82731501,1001.117151,25.02101992
Bangkok,Winter,Overcast,37.53686304,25.33314804,1010.988489,22.93937733
Bangkok,Summer,Overcast,84.51359184,6.056555127,1001.526082,21.07216508
Phuket,Rainy,Sunny,38.71212702,24.32324478,997.4404836,30.93348233
Chiang Mai,Rainy,Overcast,21.65132342,2.728074491,1003.893765,24.12498788
Bangkok,Summer,Overcast,63.5569534,6.560123001,1004.732616,29.0694817
Khon Kaen,Summer,Overcast,74.85008955,23.76771401,999.8071014,24.39635378
Chiang Mai,Winter,Sunny,,26.52868067,1007.241353,24.25775559
Bangkok,Rainy,Cloudy,,21.68317361,1012.070955,20.93449808
Phuket,Summer,Cloudy,59.93386515,20.92905259,998.8492043,31.07585904
Bangkok,Rainy,Cloudy,70.07993553,8.013984813,1002.392044,22.55420537
Phuket,Rainy,Sunny,29.50648871,20.91290102,997.011557,34.04867029
Khon Kaen,Rainy,Overcast,36.0499642,4.817473397,1003.560967,28.46715357
Bangkok,Summer,Sunny,78.53825127,16.33332192,1000.690005,30.96920505
Chiang Mai,Winter,Sunny,76.71491826,3.621953992,1006.70924,15.02818564
Chiang Mai,Summer,Overcast,58.5075515,24.79359554,1012.604066,25.85275947
Phuket,Rainy,Overcast,28.99028376,4.718783136,1000.118135,28.5971372
Chiang Mai,Rainy,Overcast,28.80284416,8.462286668,1013.347337,27.59602684
Phuket,Rainy,Cloudy,26.56944304,3.806464052,1007.193576,31.40762215
Khon Kaen,Winter,Sunny,34.84692564,16.24021986,1002.057579,29.77674428
Chiang Mai,Summer,Overcast,64.5097922,14.53570556,999.4769623,26.73085021
Bangkok,Summer,Overcast,70.27013614,17.59116624,993.8355138,26.9364321
Khon Kaen,Summer,Cloudy,49.56830401,16.29265552,1015.342377,31.21554656
Bangkok,Winter,Sunny,86.359066,25.14451073,,18.75045825
Phuket,Rainy,Cloudy,47.0530545,6.590721925,1019.876356,27.48615868
Phuket,Rainy,Cloudy,71.76245319,-25.85649007,1009.504418,26.09356823
Khon Kaen,Summer,Cloudy,,6.2092239,1018.046379,31.41343512
Phuket,Summer,Cloudy,85.40955304,27.6599525,990.5130392,27.65323965
Phuket,Rainy,Sunny,54.28281157,21.0870527,1017.575438,29.80532494
Khon Kaen,Summer,Overcast,22.59223617,20.53448802,1004.102834,33.99430644
Phuket,Rainy,Sunny,31.13472323,5.092680239,1019.595252,32.7803569
Chiang Mai,Summer,Sunny,94.0178866,20.07323998,,22.56855113
Bangkok,Summer,Sunny,82.61392726,4.286195671,990.4986687,28.06608353
Phuket,Winter,Overcast,46.58673613,5.211401209,995.1401568,20.91694538
Khon Kaen,Rainy,,90.19214933,14.09470231,1014.974486,19.88714948
Bangkok,Rainy,Sunny,73.61441103,12.38401435,1005.439903,25.70126661
Chiang Mai,Summer,Sunny,55.42881708,29.43387534,1011.241467,29.81174563
